000100AAAAABBBBBCCCCC01110000000 vaddsws VREG,VREG,VREG
000100AAAAABBBBBCCCCC01110000010 vminsw VREG,VREG,VREG
000100AAAAABBBBBCCCCC01110000100 vsraw VREG,VREG,VREG
000100AAAAABBBBBCCCCC01110000110 vcmpgtsw VREG,VREG,VREG
000100AAAAABBBBBCCCCC01110001000 vmulesw VREG,VREG,VREG
000100AAAAACCCCCBBBBB01110001010 vctuxs VREG,VREG,NUM
000100AAAAABBBBB0000001110001100 vspltisw VREG,NUM
000100AAAAA0CCCCBBBBB01110001101 vinsertw VREG,VREG,NUM
000100AAAAABBBBBCCCCC01111000010 vminsd VREG,VREG,VREG
000100AAAAABBBBBCCCCC01111000100 vsrad VREG,VREG,VREG
000100AAAAABBBBBCCCCC01111000110 vcmpbfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC01111000111 vcmpgtsd VREG,VREG,VREG
000100AAAAACCCCCBBBBB01111001010 vctsxs VREG,VREG,NUM
000100AAAAA0CCCCBBBBB01111001101 vinsertd VREG,VREG,NUM
000100AAAAA00000BBBBB01111001110 vupklpx VREG,VREG
000100AAAAABBBBBCCCCC10000000000 vsububm VREG,VREG,VREG
000100AAAAABBBBBCCCCC1D000000001 bcdadd. VREG,VREG,VREG,NUM
000100AAAAABBBBBCCCCC10000000010 vavgub VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000000011 vabsdub VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000000100 vand VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000000110 vcmpequb. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000000111 vcmpneb. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000001000 vpmsumb VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000001001 evmhesmi GPR,GPR,GPR
000100AAAAABBBBBCCCCC10000001010 vmaxfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000001011 evmhesmf GPR,GPR,GPR
000100AAAAABBBBBCCCCC10000001100 vslo VREG,VREG,VREG
000100AAAAABBBBBCCCCC10000101100 evmhoumia GPR,GPR,GPR
000100AAAAABBBBBCCCCC10001000000 vsubuhm VREG,VREG,VREG
000100AAAAABBBBBCCCCC1D001000001 bcdsub. VREG,VREG,VREG,NUM
000100AAAAABBBBBCCCCC10001000010 vavguh VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001000011 vabsduh VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001000100 vandc VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001000110 vcmpequh. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001000111 vcmpneh. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001001000 vpmsumh VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001001010 vminfp VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001001011 evmwlsmf GPR,GPR,GPR
000100AAAAABBBBBCCCCC10001001100 vsro VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001001110 vpkudum VREG,VREG,VREG
000100AAAAABBBBBCCCCC10001010011 evmwssf GPR,GPR,GPR
000100AAAAABBBBBCCCCC10001101100 evmwhumia GPR,GPR,GPR
000100AAAAABBBBBCCCCC10010000000 vsubuwm VREG,VREG,VREG
000100AAAAABBBBBCCCCC10010000001 bcdus. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10010000010 vavguw VREG,VREG,VREG
000100AAAAABBBBBCCCCC10010000011 vabsduw VREG,VREG,VREG
000100AAAAAxxxxxxxxxx10010000100 vmr VREG,VREG
000100AAAAABBBBBCCCCC10010000110 vcmpequw. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10010000111 vcmpnew. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10010001000 vpmsumw VREG,VREG,VREG
000100AAAAABBBBBCCCCC10011000000 vsubudm VREG,VREG,VREG
000100AAAAABBBBBCCCCC1D011000001 bcds. VREG,VREG,VREG,NUM
000100AAAAABBBBBxxxxx10011000010 evsubfusiaaw GPR,GPR
000100AAAAABBBBBxxxxx10011000011 evsubfssiaaw GPR,GPR
000100AAAAABBBBBCCCCC10011000100 vxor VREG,VREG,VREG
000100AAAAABBBBBCCCCC10011000110 vcmpeqfp. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10011000111 vcmpequd. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10011001000 vpmsumd VREG,VREG,VREG
000100AAAAABBBBBxxxxx10011001001 evaddsmiaaw GPR,GPR
000100AAAAABBBBBxxxxx10011001010 evsubfumiaaw GPR,GPR
000100AAAAABBBBBxxxxx10011001011 evsubfsmiaaw GPR,GPR
000100AAAAABBBBBCCCCC10011001110 vpkudus VREG,VREG,VREG
000100AAAAABBBBBCCCCC10100000000 vsubuqm VREG,VREG,VREG
000100AAAAABBBBBCCCCC1D100000001 bcdtrunc. VREG,VREG,VREG,NUM
000100AAAAABBBBBCCCCC10100000010 vavgsb VREG,VREG,VREG
000100AAAAABBBBBCCCCC10100000011 evmhessfaaw GPR,GPR,GPR
000100AAAAAxxxxxxxxxx10100000100 vnot VREG,VREG
000100AAAAABBBBBCCCCC10100000101 evmhossiaaw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10100000110 udi4fcm. NUM,NUM,NUM
000100AAAAABBBBBCCCCC10100000111 vcmpnezb. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10100001000 vcipher VREG,VREG,VREG
000100AAAAABBBBBCCCCC10100001001 vcipherlast VREG,VREG,VREG
000100AAAAABBBBBCCCCC10100001011 evmhesmfaaw GPR,GPR,GPR
000100AAAAA00000BBBBB10100001100 vgbbd VREG,VREG
000100AAAAABBBBBCCCCC10100101100 evmhogumiaa GPR,GPR,GPR
000100AAAAABBBBBCCCCC10101000000 vsubcuq VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101000001 bcdutrunc. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101000010 vavgsh VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101000011 evmwlssfaaw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10101000100 vorc VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101000101 evmwhssmaa GPR,GPR,GPR
000100AAAAABBBBBCCCCC10101000110 udi5fcm. NUM,NUM,NUM
000100AAAAABBBBBCCCCC10101000111 vcmpnezh. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101001000 vncipher VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101001001 vncipherlast VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101001011 evmwlsmfaaw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10101001100 vbpermq VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101001110 vpksdus VREG,VREG,VREG
000100AAAAABBBBBCCCCC10101010011 evmwssfaa GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110000000 vsubcuw VREG,VREG,VREG
000100AAAAA00000BBBBB10110000001 bcdctsq. VREG,VREG
000100AAAAABBBBBCCCCC10110000010 vavgsw VREG,VREG,VREG
000100AAAAABBBBBCCCCC10110000011 evmhessfanw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110000100 vnand VREG,VREG,VREG
000100AAAAABBBBBCCCCC10110000101 evmhossianw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110000110 udi6fcm. NUM,NUM,NUM
000100AAAAABBBBBCCCCC10110000111 vcmpnezw. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10110001000 evmheumianw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110001001 evmhesmianw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110001011 evmhesmfanw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10110101100 evmhogumian GPR,GPR,GPR
000100AAAAABBBBBCCCCC10111000000 evmwlusianw GPR,GPR,GPR
000100AAAAABBBBBCCCCC1D111000001 bcdsr. VREG,VREG,VREG,NUM
000100AAAAABBBBBCCCCC10111000011 evmwlssfanw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10111000100 vsld VREG,VREG,VREG
000100AAAAABBBBBCCCCC10111000101 evmwhssian GPR,GPR,GPR
000100AAAAABBBBBCCCCC10111000110 vcmpgefp. VREG,VREG,VREG
000100AAAAABBBBBCCCCC10111000111 udi7fcm NUM,NUM,NUM
000100AAAAABBBBB0000010111001000 vsbox VREG,VREG
000100AAAAABBBBBCCCCC10111001001 evmwlsmianw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10111001011 evmwlsmfanw GPR,GPR,GPR
000100AAAAABBBBBCCCCC10111001100 vbpermd VREG,VREG,VREG
000100AAAAABBBBBCCCCC10111001110 vpksdss VREG,VREG,VREG
000100AAAAABBBBBCCCCC10111010011 evmwssfan GPR,GPR,GPR
000100AAAAABBBBBCCCCC11000000000 vsububs VREG,VREG,VREG
000100AAAAA00000BBBBB11000000010 vclzlsbb GPR,VREG
000100AAAAA000000000011000000100 mfvscr VREG
000100AAAAABBBBBCCCCC11000000110 vcmpgtub. VREG,VREG,VREG
000100AAAAABBBBBCCCCC11000000111 udi8fcm NUM,NUM,NUM
000100AAAAABBBBBCCCCC11000001000 vsum4ubs VREG,VREG,VREG
000100AAAAABBBBBCCCCC11000001101 vextublx GPR,GPR,VREG
000100AAAAABBBBBCCCCC11001000000 vsubuhs VREG,VREG,VREG
0001000000000000AAAAA11001000100 mtvscr VREG
000100AAAAABBBBBCCCCC11001000110 vcmpgtuh. VREG,VREG,VREG
000100AAAAABBBBBCCCCC11001001000 vsum4shs VREG,VREG,VREG
000100AAAAABBBBBCCCCC11001001001 udi9fcm NUM,NUM,NUM
000100AAAAABBBBBCCCCC11001001101 vextuhlx GPR,GPR,VREG
000100AAAAA00000BBBBB11001001110 vupkhsw VREG,VREG
000100AAAAABBBBBCCCCC11010000000 vsubuws VREG,VREG,VREG
000100AAAAABBBBBCDDDD11010000010 vshasigmaw VREG,VREG,NUM,NUM
000100AAAAABBBBBCCCCC11010000100 veqv VREG,VREG,VREG
000100AAAAABBBBBCCCCC11010000110 vcmpgtuw. VREG,VREG,VREG
000100AAAAABBBBBCCCCC11010000111 udi10fcm NUM,NUM,NUM
000100AAAAABBBBBCCCCC11010001000 vsum2sws VREG,VREG,VREG
000100AAAAABBBBBCCCCC11010001100 vmrgow VREG,VREG,VREG
000100AAAAABBBBBCCCCC11010001101 vextuwlx GPR,GPR,VREG
000100AAAAABBBBBCDDDD11011000010 vshasigmad VREG,VREG,NUM,NUM
000100AAAAABBBBBCCCCC11011000100 vsrd VREG,VREG,VREG
000100AAAAABBBBBCCCCC11011000110 vcmpgtfp. VREG,VREG,VREG
000100AAAAABBBBBCCCCC11011000111 vcmpgtud. VREG,VREG,VREG
000100AAAAA00000BBBBB11011001110 vupklsw VREG,VREG
