000100xxxxxxxxxxxxxxx01000000110 vcmpgtub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01000001000 vmuleub VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01000001001 evneg GPR,GPR
000100xxxxx00000xxxxx01000001010 vrfin VREG,VREG
000100xxxxxxxxxxxxxxx01000001011 evextsh GPR,GPR
000100xxxxx0xxxxxxxxx01000001100 vspltb VREG,VREG,NUM
000100xxxxx0xxxxxxxxx01000001101 vextractub VREG,VREG,NUM
000100xxxxx00000xxxxx01000001110 vupkhsb VREG,VREG
000100xxxxx00000xxxxx01000010000 ps_abs FREG,FREG
000100xxxxx00000xxxxx01000010001 ps_abs. FREG,FREG
000100xxxxxxxxxxxxxxx01000010010 evandc GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01000110100 evcmpeq CREG,GPR,GPR
000100xxxxxxxxxxxxxxx01001000000 vadduhs VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01001000001 vmul10euq VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01001000010 vminuh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01001000100 vsrh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01001000110 vcmpgtuh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01001001000 vmuleuh VREG,VREG,VREG
000100xxxxx00000xxxxx01001001010 vrfiz VREG,VREG
000100xxxxx00xxxxxxxx01001001100 vsplth VREG,VREG,NUM
000100xxxxx0xxxxxxxxx01001001101 vextractuh VREG,VREG,NUM
000100xxxxx00000xxxxx01001001110 vupkhsh VREG,VREG
000100xxxxxxxxxxxxxxx01010000000 vadduws VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01010000001 evfssub GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01010000010 vminuw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01010000011 evfsmsub GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01010000100 vsrw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01010000101 evfsnabs GPR,GPR
000100xxxxxxxxxxxxxxx01010000110 vcmpgtuw VREG,VREG,VREG
000100xxxxxxxxxx0000001010000111 evfssqrt GPR,GPR
000100xxxxxxxxxxxxxxx01010001000 vmuleuw VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01010001001 evfsdiv GPR,GPR,GPR
000100xxxxx00000xxxxx01010001010 vrfip VREG,VREG
000100xxxxxxxxxxxxxxx01010001011 evfsnmsub GPR,GPR,GPR
000100xxxxx000xxxxxxx01010001100 vspltw VREG,VREG,NUM
000100xxxxx0xxxxxxxxx01010001101 vextractuw VREG,VREG,NUM
000100xxxxx00000xxxxx01010001110 vupklsb VREG,VREG
000100xxxxxxxxxxxxxxx01010010000 evfscfui GPR,GPR
000100xxxxxxxxxxxxxxx01010010001 evfscfsi GPR,GPR
000100xxxxxxxxxxxxxxx01010010010 evfscfuf GPR,GPR
000100xxxxxxxxxxxxxxx01010010011 evfscfsf GPR,GPR
000100xxxxxxxxxxxxxxx01011000000 efsadd GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01011000001 efssub GPR,GPR,GPR
